Configuration,Language,File Path,Successfully Extracted
/language:javascript-typescript,TypeScript,package/src/store/apis/deletePendingTask.ts,true
/language:javascript-typescript,TypeScript,package/src/components/Chat/hooks/__tests__/useAppSettings.test.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/ChannelPreview/ChannelPreviewStatus.tsx,true
/language:javascript-typescript,TypeScript,package/src/hooks/__tests__/useAppStateListener.test.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/MessageList/utils/getLastReceivedMessage.ts,true
/language:javascript-typescript,TypeScript,package/src/components/ImageGallery/__tests__/ImageGalleryOverlay.test.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/MessageInput/hooks/useCountdown.ts,true
/language:javascript-typescript,TypeScript,package/src/contexts/messageInputContext/__tests__/uploadFile.test.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/Attachment/Attachment.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/ThreadReply.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/components/ChatScreenHeader.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/Attachment/FileIcon.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/PPTX.tsx,true
/language:javascript-typescript,TypeScript,package/native-package/src/optionalDependencies/triggerHaptic.ts,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/icons/Picture.tsx,true
/language:javascript-typescript,TypeScript,package/src/utils/Streami18n.ts,true
/language:javascript-typescript,TypeScript,package/src/store/apis/queries/selectChannels.ts,true
/language:javascript-typescript,TypeScript,package/src/store/apis/deleteReactions.ts,true
/language:javascript-typescript,TypeScript,package/src/store/mappers/mapDateTimeToStorable.ts,true
/language:javascript-typescript,TypeScript,package/src/icons/index.ts,true
/language:javascript-typescript,TypeScript,package/src/mock-builders/api/channelMocks.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/Attachment/Card.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/Attachment/Giphy.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/Attach.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/SendUp.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/MessageOverlay/hooks/useMessageActionAnimation.tsx,true
/language:javascript-typescript,TypeScript,package/src/store/mappers/mapStorableToUser.ts,true
/language:javascript-typescript,TypeScript,package/src/store/sqlite-utils/printRow.ts,true
/language:javascript-typescript,TypeScript,package/src/components/ImageGallery/components/AnimatedGalleryImage.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/Attachment/utils/buildGallery/buildGalleryOfThreeImages.ts,true
/language:javascript-typescript,TypeScript,package/src/icons/Eye.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/utils/streami18n.ts,true
/language:javascript-typescript,TypeScript,package/src/hooks/__tests__/useTranslatedMessage.test.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/ImageGallery/__tests__/ImageGalleryVideoControl.test.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/Close.tsx,true
/language:javascript-typescript,TypeScript,package/src/utils/StreamChatRN.ts,true
/language:javascript-typescript,TypeScript,package/src/contexts/messageInputContext/__tests__/MessageInputContext.test.tsx,true
/language:javascript-typescript,TypeScript,package/src/contexts/messageInputContext/__tests__/sendMessage.test.tsx,true
/language:javascript-typescript,TypeScript,examples/TypeScriptMessaging/__tests__/App-test.tsx,true
/language:javascript-typescript,TypeScript,package/src/contexts/messageInputContext/__tests__/sendMessageAsync.test.tsx,true
/language:javascript-typescript,TypeScript,package/src/contexts/themeContext/ThemeContext.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/ImageGallery/components/ImageGrid.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/ChannelList/Skeleton.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/ChannelPreview/hooks/useLatestMessagePreview.ts,true
/language:javascript-typescript,TypeScript,package/src/components/Message/MessageSimple/MessageTextContainer.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/ChannelList/ChannelListFooterLoadingIndicator.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/ChannelList/ChannelList.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/Refresh.tsx,true
/language:javascript-typescript,TypeScript,package/src/mock-builders/DB/mock.ts,true
/language:javascript-typescript,TypeScript,package/src/utils/getUrlOfImageAttachment.ts,true
/language:javascript-typescript,TypeScript,package/src/hooks/useLoadingImage.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/MessageList/hooks/useMessageList.ts,true
/language:javascript-typescript,TypeScript,package/src/components/ImageGallery/__tests__/ImageGalleryFooter.test.tsx,true
